Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
200600025461,6,5,16,910,1,2,1,1.0,6.0,88.0,"205, MADELEINE (BD DE LA",,,,60
201000041191,10,8,14,1440,1,1,1,1.0,3.0,224.0,VOIE RAPIDE OUEST,M,4773306.0,728630,680
201400049112,14,1,2,1839,5,1,1,1.0,6.0,37.0,"sans, TOUTES RUES",M,0.0,0,202
201200043779,12,8,14,1845,1,2,1,1.0,6.0,1.0,"42, LANDY (RUE DU) 34/29",M,4891530.0,236941,930
200900023912,9,5,24,1458,1,2,2,1.0,3.0,21.0,ALSACE LORRAINE (BOULEVA,,,,800
200700025519,7,5,20,1845,1,1,1,2.0,1.0,87.0,,M,4697500.0,-181900,440
201400013467,14,6,21,2125,4,1,1,1.0,6.0,1.0,RD 17,,,,130
200800027071,8,5,27,1002,1,2,2,2.0,2.0,108.0,BOULEVARD DE COURCELLES,,,,750
200600024702,6,5,24,1100,1,1,1,1.0,6.0,18.0,,M,0.0,0,110
200800009502,8,2,26,805,1,2,3,1.0,3.0,50.0,"1, SAINT JAUME(CHEMIN)",,,,830
201600010094,16,2,8,1345,1,1,1,2.0,7.0,168.0,1 ROUTE DU PLAIX,M,4650780.0,133866,360
201000008739,10,7,8,900,1,2,1,1.0,6.0,116.0,46 belle allée,M,4598800.0,309000,630
200500043595,5,7,25,1350,1,2,2,1.0,3.0,88.0,"0, POTIERS (R. DES)",,,,60
200800045666,8,8,15,1655,1,2,2,1.0,3.0,88.0,"0, RIBOTTI (R.)",,,,60
