Num_Acc,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh
201300054279,1.0,1,4,1,1.0,21.0,0.0,0.0,0.0,1991.0,A01
201100063016,,3,4,1,5.0,,2.0,5.0,2.0,2008.0,A01
201500011565,8.0,2,3,1,0.0,13.0,0.0,0.0,0.0,1983.0,B02
201400001448,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1974.0,A01
201100022446,1.0,1,1,2,5.0,13.0,0.0,0.0,0.0,1938.0,A01
201600009947,1.0,1,1,2,1.0,11.0,0.0,0.0,0.0,1961.0,A01
200800048235,1.0,1,3,1,4.0,12.0,0.0,0.0,0.0,1967.0,A01
200500029752,1.0,1,1,1,5.0,93.0,0.0,0.0,0.0,1976.0,A01
200600057450,0.0,3,4,1,0.0,0.0,4.0,3.0,2.0,2003.0,A01
201600014408,2.0,2,1,1,0.0,11.0,0.0,0.0,0.0,1968.0,B01
200500039440,2.0,2,4,1,0.0,11.0,0.0,0.0,0.0,1983.0,A01
201000013102,2.0,2,1,1,0.0,11.0,0.0,0.0,0.0,1992.0,A01
200600009297,2.0,2,4,2,0.0,11.0,0.0,0.0,0.0,1955.0,A01
201000028817,1.0,1,4,1,9.0,13.0,0.0,0.0,0.0,1965.0,B01
200500043159,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1972.0,A01
201600040072,1.0,1,1,1,4.0,93.0,0.0,0.0,0.0,1979.0,B01
200500055327,3.0,2,1,1,0.0,11.0,0.0,0.0,0.0,1986.0,A01
201000017259,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1978.0,B01
201400037876,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1969.0,B01
201200010427,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1951.0,A01
201400035496,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1947.0,D01
200500014027,1.0,1,3,1,5.0,92.0,0.0,0.0,0.0,1996.0,B01
201200017538,,3,4,2,1.0,93.0,3.0,3.0,1.0,1955.0,A01
201600016789,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1930.0,B02
201100059401,,3,4,1,4.0,,2.0,9.0,2.0,1976.0,A01
201500039945,1.0,1,1,1,1.0,13.0,0.0,0.0,0.0,1960.0,A01
201600058403,3.0,2,4,2,9.0,11.0,0.0,0.0,0.0,1992.0,B01
201400039909,1.0,1,1,1,0.0,21.0,0.0,0.0,0.0,1976.0,A01
200700061303,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1938.0,A01
200900051418,3.0,2,4,2,0.0,11.0,0.0,0.0,0.0,1947.0,A01
200900004725,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1979.0,B01
201200017927,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1982.0,A01
201100038341,1.0,1,1,2,0.0,11.0,0.0,0.0,0.0,1966.0,A01
201600053405,3.0,2,4,2,5.0,11.0,0.0,0.0,0.0,2007.0,A01
201000065341,,3,4,2,0.0,,3.0,3.0,1.0,1943.0,A01
201200027958,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1923.0,A01
