Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
200500057335,4.0,0,0.0,,2.0,2.0,,,0.0,2.0,1.0,15.0,80.0,1.0,0.0,1.0,0.0
200800062156,4.0,0,0.0,,1.0,4.0,17.0,500.0,0.0,1.0,1.0,15.0,140.0,2.0,0.0,1.0,99.0
200700042478,4.0,0,0.0,,2.0,2.0,,,0.0,3.0,3.0,0.0,54.0,0.0,0.0,1.0,99.0
201500023804,4.0,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201100020205,4.0,0,,,0.0,0.0,,,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
200900046605,1.0,39,,,3.0,4.0,123.0,700.0,0.0,1.0,1.0,100.0,70.0,1.0,0.0,3.0,0.0
201600027177,4.0,0,,,2.0,2.0,,,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
201200030070,4.0,568,,,3.0,4.0,,,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,99.0
200900068368,2.0,77,,,2.0,2.0,29.0,100.0,0.0,1.0,1.0,0.0,75.0,1.0,0.0,1.0,99.0
200600070871,1.0,6,0.0,b,3.0,4.0,0.0,400.0,0.0,1.0,1.0,15.0,140.0,1.0,0.0,1.0,0.0
201500033293,3.0,154,,E,0.0,3.0,1.0,372.0,0.0,1.0,2.0,0.0,120.0,1.0,5.0,1.0,99.0
201300044172,3.0,0,,,2.0,0.0,,,0.0,1.0,1.0,0.0,114.0,0.0,0.0,1.0,0.0
201500054944,4.0,0,,,2.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200500047983,2.0,32,0.0,,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,72.0,1.0,0.0,1.0,0.0
200900047780,4.0,0,,,1.0,2.0,,,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
200700026180,3.0,74,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,70.0,1.0,0.0,1.0,3.0
200800010892,9.0,0,0.0,,1.0,3.0,,,0.0,1.0,1.0,0.0,40.0,1.0,0.0,1.0,99.0
201400047391,1.0,104,,,1.0,3.0,5.0,900.0,0.0,1.0,1.0,15.0,105.0,1.0,0.0,1.0,99.0
200700047683,3.0,20,0.0,,2.0,2.0,4.0,500.0,0.0,1.0,2.0,0.0,60.0,1.0,0.0,3.0,0.0
200900024356,2.0,150,,R,3.0,4.0,19.0,0.0,0.0,3.0,3.0,10.0,72.0,1.0,0.0,1.0,99.0
